Clave|Revista|Color|Tipo de licencia|Acceso|Autoarchivo|Versiones de autoarchivo
1|Cuadernos.info|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
2|ECONOMIA CREATIVA|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito|Sí|Post-print (versión editorial)
3|Revista Información Científica|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
4|Trabalho, Educação e Saúde|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
5|Revista Observatório|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
6|Derecho PUCP|Verde|Atribución - CC BY|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
7|Administração Pública e Gestão Social|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
8|Administração Pública e Gestão Social|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
9|Revista ICONO 14 de Comunicación y Tecnologías emergentes|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
10|Revista de Ciencias Sociales y Humanas|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
11|Urvio, Revista Latinoamericana de Estudios de Seguridad|Azul|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Post-print (versión editorial)
12|Revista Digital de Derecho Administrativo|Verde|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
13|Laplage em Revista|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
14|International Journal of Professional Business Review|Verde|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
15|El Ornitorrinco Tachado|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
16|Diálogos sobre educación. Temas actuales en investigación educativa|Blanca|Ninguna|Gratuito|No|Desconocido
17|Revista Alergia México|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
18|"Anuario electrónico de estudios en Comunicación Social ""Disertaciones"""|Verde|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
19|Educação e Pesquisa|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
21|Revista de Ciencias Sociales|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
22|Problemas del Desarrollo. Revista Latinoamericana de Economía|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
23|Revista Facultad de Ingeneria|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
24|Revista UIS Ingenierías|Verde|Atribución-Sin Derivadas - CC BY-ND|Gratuito|Sí|Pre-print (versión sin evaluar ), Post-print (versión editorial)
25|Agronomía Mesoamericana|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
26|REVISTA CATARINENSE DA CIÊNCIA CONTÁBIL|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
27|En-Contexto Revista de Investigación en Administración, Contabilidad, Economía y Sociedad|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
28|Revista INVI|Azul|Atribución-Compartir Igual - CC BY-SA|Gratuito online - suscripción versión impresa|Sí|Post-print (versión editorial)
29|Revista Argentina de Radiología|Blanca|Ninguna|Gratuito online - suscripción versión impresa|No|Desconocido
30|HiSTOReLo. Revista de Historia Regional y Local|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
31|Revista Internacional de Contaminación Ambiental|Azul|Atribución-No Comercial - CC BY-NC|Gratuito|Sí|Post-print (versión editorial)
32|Boletim Goiano de Geografia|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
33|Cadernos Metrópole|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
34|Acta Paulista de Enfermagem|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
35|Estudios sobre las Culturas Contemporáneas|Blanca|Ninguna|Gratuito|No|Desconocido
36|Huitzil, Revista Mexicana de Ornitología|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
37|Galáxia|Azul|Atribución - CC BY|Gratuito|Sí|Post-print (versión editorial)
38|Colombia Forestal|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
39|Uniciencia|Azul|Atribución-No Comercial-Sin Derivadas - CC BY-NC-ND|Gratuito|Sí|Post-print (versión editorial)
40|Revista Peruana de Ginecología y Obstetricia|Azul|Ninguna|Gratuito|Sí|Post-print (versión editorial)
41|REHMLAC+. Revista de Estudios Históricos de la Masonería Latinoamericana y Caribeña|Azul|Atribución-No Comercial-Compartir Igual - CC BY-NC-SA|Gratuito|Sí|Post-print (versión editorial)
